Date /Time,,SAMPLE ID.,Alkalinity,HCl std,mol/L,volume (mL),pH,Titre HCl,EndPointVol (mL)
,,,ppm,mol/L,,,,,
2019-08-05 13:21:01 UTC+8,Ryan Noble Alkalinity,Hamil 20.2 std.,138.67279,,,10,7.44,,2.2
2019-08-05 12:37:40 UTC+8,Ryan Noble Alkalinity,milli q blank,4.6056,,,20,6.08,,0.15
2019-08-05 12:31:33 UTC+8,Ryan Noble Titre HCl,STD3,,0.01034,mol/L,25,,0.01034,
2019-08-05 12:25:29 UTC+8,Ryan Noble Titre HCl,STD2,,0.01035,mol/L,25,,0.01061,
2019-08-05 12:18:02 UTC+8,Ryan Noble Titre HCl,STD1,,0.01086,mol/L,25,,0.01086,
2019-08-02 19:45:59 UTC+8,Ryan Noble Alkalinity,milli q blank,4.06122,,,20,5.84,,0.13
MT. ISA SAMPLES:,,,,,,,,,
2019-08-02 19:31:34 UTC+8,Ryan Noble Alkalinity,14331 dup,525.2092,,,20,8.52,,16.81
2019-08-02 19:17:13 UTC+8,Ryan Noble Alkalinity,14331,522.46002,,,20,8.49,,16.72
2019-08-02 19:09:12 UTC+8,Ryan Noble Alkalinity,12687,231.48945,,,20,8.44,,7.41
2019-08-02 18:53:25 UTC+8,Ryan Noble Alkalinity,Woolshed,576.81786,,,20,8.77,,18.46
2019-08-02 18:46:42 UTC+8,Ryan Noble Alkalinity,Williams yard,160.01199,,,20,8.13,,5.12
2019-08-02 18:34:26 UTC+8,Ryan Noble Alkalinity,Williams,473.10069,,,20,8.64,,15.14
2019-08-02 18:18:19 UTC+8,Ryan Noble Alkalinity,Toole Creek 1,584.56545,,,20,8.61,,18.71
2019-08-05 13:07:15 UTC+8,Ryan Noble Alkalinity,RN 51466 rpt,2002.23799,,,5,7.54,,15.87
2019-08-05 12:41:33 UTC+8,Ryan Noble Alkalinity,RN 51466,2013.84675,,,10,7.66,,31.92
2019-08-02 17:48:57 UTC+8,Ryan Noble Alkalinity,RN 51466,invalid,,,20,8.22,,invalid
2019-08-02 17:38:58 UTC+8,Ryan Noble Alkalinity,RN 184014,308.09025,,,20,8.47,,9.86
2019-08-02 17:21:18 UTC+8,Ryan Noble Alkalinity,RN 171621,656.54276,,,20,8.47,,21.02
2019-08-02 16:55:56 UTC+8,Ryan Noble Alkalinity,RN 171620,1004.55791,,,20,8.43,,32.16
2019-08-02 16:49:10 UTC+8,Ryan Noble Alkalinity,RN 118306,186.19124,,,20,8.33,,5.96
2019-08-02 16:32:00 UTC+8,Ryan Noble Alkalinity,RN 51681,681.72231,,,20,8.46,,21.82
2019-08-02 16:24:35 UTC+8,Ryan Noble Alkalinity,RN 51465,214.1824,,,20,8.32,,6.86
2019-08-02 16:12:43 UTC+8,Ryan Noble Alkalinity,RN 51420,433.36323,,,20,8.52,,13.87
2019-08-02 16:02:31 UTC+8,Ryan Noble Alkalinity,RN 8102,326.08458,,,20,8.33,,10.44
2019-08-02 15:47:57 UTC+8,Ryan Noble Alkalinity,RN 2734,525.64656,,,20,8.86,,16.83
2019-08-02 15:44:54 UTC+8,Ryan Noble Alkalinity,milli q blank,3.24897,,,20,5.41,,0.1
2019-08-02 15:38:42 UTC+8,Ryan Noble Alkalinity,Hamil 20.2 std,130.45883,,,20,8.09,,4.18
2019-08-02 15:11:47 UTC+8,Ryan Noble Alkalinity,Guys bore,1077.53484,,,20,8.42,,34.49
2019-08-02 15:04:28 UTC+8,Ryan Noble Alkalinity,Fisher Creek MW 71620,183.75452,,,20,8.09,,5.88
2019-08-02 14:53:07 UTC+8,Ryan Noble Alkalinity,Bore 7 51680 dup,369.00855,,,20,8.27,,11.81
2019-08-02 14:40:22 UTC+8,Ryan Noble Alkalinity,RN 2732,380.25499,,,20,8.13,,12.17
2019-08-02 14:32:58 UTC+8,Ryan Noble Alkalinity,RN 2721,168.82171,,,20,8.27,,5.4
2019-08-02 14:14:16 UTC+8,Ryan Noble Alkalinity,RN 2694,676.91135,,,20,8.28,,21.67
2019-08-02 14:10:58 UTC+8,Ryan Noble Alkalinity,MK Pit 1,5.99811,,,20,5.51,,0.19
2019-08-02 13:47:49 UTC+8,Ryan Noble Alkalinity,Fisher Creek House bore,900.09089,,,20,8.56,,28.81
2019-08-02 13:36:11 UTC+8,Ryan Noble Alkalinity,Dingo 1,399.12404,,,20,8.36,,12.78
2019-08-02 13:31:55 UTC+8,Ryan Noble Alkalinity,Bullock Mill 1 blank,7.87251,,,20,6.54,,0.25
2019-08-02 13:14:33 UTC+8,Ryan Noble Alkalinity,Bullock Mill 1 dup,601.685,,,20,8.33,,19.26
2019-08-02 12:56:36 UTC+8,Ryan Noble Alkalinity,Bullock Mill 1,664.47775,,,20,8.47,,21.27
2019-08-02 12:49:27 UTC+8,Ryan Noble Alkalinity,Corner bore,157.07544,,,20,7.67,,5.03
2019-08-02 12:37:37 UTC+8,Ryan Noble Alkalinity,Bore 7 51680,370.19565,,,20,8.16,,11.85
2019-08-02 10:54:39 UTC+8,Ryan Noble Alkalinity,Alf's Hamil 20.2 std,148.45316,,,20,7.74,,4.75
2019-08-02 10:51:00 UTC+8,Ryan Noble Alkalinity,milli q blank,3.43642,,,20,5.44,,0.11
2019-08-02 10:44:57 UTC+8,Ryan Noble Titre HCl,STD3,,0.01034,,25,,0.01028,
2019-08-02 10:38:45 UTC+8,Ryan Noble Titre HCl,STD2,,0.01029,,25,,0.01025,
2019-08-02 10:32:22 UTC+8,Ryan Noble Titre HCl,STD1,,0.0102,,25,,0.0102,
