"uuid","identifier","createdBy","createdAtGMT","modifiedBy","modifiedAtGMT","SamplePrefix1","SamplePrefix2","SampleID","WaterSampleSuffix","WaterSampleTimestamp","TimestampField","WaterSampleAuthor","StationDeposit","Project","Area","SiteName","ObservationType","LocationNumber","SRID","Latitude","Longitude","Northing","Easting","Accuracy","ElevationMetresAboveSeaLevel","WaterTable","SampleDepth","BottomOfHole","SamplesCollected","Notes","Photos","Sketches","HoleType","HoleLining","HoleOpenClosed","PipesInHole","HoleAngle","EstimatedAngle","OutflowPresent","SamplingIssues","Temperature","Conductivity","PreferredPH","PreferredEh","PreferredPHTime","PreferredEhTime","geospatialcolumn"
"1000031559175447922","sjt-W-0001-30May2019","Steve Trigg","2019-05-30 00:17:56.057 GMT","Steve Trigg","2019-05-30 02:50:27 GMT","sjt","W","0001","","30May2019","30/05/2019","Steve Trigg","karingal","Minex south cobar","","mxscsjt0001 gw052363","Sampling Location","","28355","-33.4320775544653","146.164999708055","6300499.60142585","422379.078386222","4.0","168","41m (to pump)uyug","","","","dating sample","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''WaterSample/Photos/sjt_W_0001_30May2019_1.jpg''}}","","Flowing Bore","Poly pipe/plastic","Closed/covered","Poly Pipes","Vertical","90","No","","19.9","4140","6.79","292","30-May-19 11:06:02 AEST","30-May-19 11:10:50 AEST","POINT(422379.078386 6300499.601426)"
"1000031559182887790","sjt-W-0002-30May2019","Steve Trigg","2019-05-30 02:21:57.936 GMT","Steve Trigg","2019-05-30 02:49:24 GMT","sjt","W","0002","","30May2019","30/05/2019","Steve Trigg","karingal","Minex south cobar","","mxscsjt0002 gw051216","Sampling Location","","28355","-33.3397339414986","146.193287401751","6310758.62043255","424929.419639446","6.0","211","49.8","","","","","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''WaterSample/Photos/sjt_W_0002_30May2019_1.jpg''}}","","Flowing Bore","Metal","Closed/covered","Poly Pipes","Vertical","90","No","Pumped","16.42","2750","6.87","263.7","30-May-19 12:45:55 AEST","30-May-19 12:39:29 AEST","POINT(424929.419639 6310758.620433)"
"1000031559187744871","sjt-W-0003-30May2019","Steve Trigg","2019-05-30 03:42:58.963 GMT","Steve Trigg","2019-05-30 04:04:56 GMT","sjt","W","0003","","30May2019","30/05/2019","Steve Trigg","karingal","Minex south cobar","","mxscsjt0003 ","Sampling Location","","28355","-33.3133041920475","146.344992224052","6313787.83436606","439028.5452603","6.0","169","approx 30feet from farmer","","","Cations - Anions - Alkalinity - Carbon (1L)","gw702507","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''WaterSample/Photos/sjt_W_0003_30May2019_1.jpg''}}","","Flowing Bore","Poly pipe/plastic","Closed/covered","Poly Pipes","Vertical","90","","","21","1271","7.15","310.0","30-May-19 13:56:55 AEST","30-May-19 13:58:26 AEST","POINT(439028.54526 6313787.834366)"
"1000031559190561497","sjt-W-0004-30May2019","Steve Trigg","2019-05-30 04:29:51.308 GMT","Steve Trigg","2019-05-30 04:38:28 GMT","sjt","W","0004","","30May2019","30/05/2019","Steve Trigg","karingal","Minex south cobar","","mxscsjt0004","","","28355","-33.3404593926674","146.332950474271","6310770.06349931","437926.87620672","4.0","","8.21m","5","","Cations - Anions - Alkalinity - Carbon (1L)","","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''WaterSample/Photos/sjt_W_0004_30May2019_1.jpg''}}","","Still Bore (Bailed)","Poly pipe/plastic","Closed/covered","No pipes/clear","Vertical","90","No","","20.9","2138","7.01","332","30-May-19 14:35:22 AEST","30-May-19 14:35:21 AEST","POINT(437926.876207 6310770.063499)"
"1000031559194743757","sjt-W-0005-30May2019","Steve Trigg","2019-05-30 05:39:40.814 GMT","Steve Trigg","2019-05-30 05:51:26 GMT","sjt","W","0005","","30May2019","30/05/2019","Steve Trigg","Mountain Creek","Minex south cobar","","MXSCSJT0005","Sampling Location","","28355","-33.3806845712233","145.902670309371","6305971.23048057","397932.026366229","4.0","143","18.4","","55.5","Cations - Anions - Alkalinity - Carbon (1L)","House bore adjacent to power pole. GW702146","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''WaterSample/Photos/sjt_W_0005_30May2019_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''WaterSample/Photos/sjt_W_0005_30May2019_2.jpg''}}","","Flowing Bore","Poly pipe/plastic","Closed/covered","Poly Pipes","Vertical","90","","","20.12","724","6.49","229.5","30-May-19 15:48:46 AEST","30-May-19 15:44:26 AEST","POINT(397932.026366 6305971.230481)"
"1000031559196967973","sjt-W-0006-30May2019","Steve Trigg","2019-05-30 06:16:54.939 GMT","Steve Trigg","2019-05-30 06:37:41 GMT","sjt","W","0006","","30May2019","30/05/2019","Steve Trigg","Ballyrogan","Minex south cobar","","MXSCSJT0006","Sampling Location","","28355","-33.4262753532694","145.924978478413","6300937.99704207","400059.335822693","6.0","143","13 (anecdotal) ","","38 (anecdotal) ","Cations - Anions - Alkalinity - Carbon (1L)","GW705134. Waterbore around 50 m east of dwellings. Only 3 years old. ","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''WaterSample/Photos/sjt_W_0006_30May2019_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''WaterSample/Photos/sjt_W_0006_30May2019_2.jpg''}}","","Flowing Bore","Poly pipe/plastic","Closed/covered","Metal Pipes","Vertical","90","No","","22.37","2700","6.55","313.4","30-May-19 16:27:28 AEST","30-May-19 16:27:29 AEST","POINT(400059.335823 6300937.997042)"
"1000031559255995006","sjt-W-0007-31May2019","Steve Trigg","2019-05-30 22:40:09.392 GMT","Steve Trigg","2019-05-31 01:10:53 GMT","sjt","W","0007","","31May2019","31/05/2019","Steve Trigg","","Minex south cobar","Evergreen","MXSCSJT0007","Sampling Location","","28354","-33.3188569493857","146.303823027952","6300783.6304987","993952.725441904","6.0","173","19.96","","165 ft","Cations - Anions - Alkalinity - Carbon (1L)","Bottom of hole ","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''WaterSample/Photos/sjt_W_0007_31May2019_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''WaterSample/Photos/sjt_W_0007_31May2019_2.jpg''}}","","Flowing Bore","Poly pipe/plastic","Closed/covered","Poly Pipes","Vertical","90","No","","17.5","670","7.59","339.6","31-May-19 08:58:29 AEST","31-May-19 08:58:38 AEST","POINT(435200.342707 6313147.386531)"
"1000031559257147736","sjt-W-0008-31May2019","Steve Trigg","2019-05-30 22:59:13.083 GMT","Steve Trigg","2019-05-31 01:08:11 GMT","sjt","W","0008","","31May2019","31/05/2019","Steve Trigg","","Minex south cobar","Evergreen","MXCSSJT008","Sampling Location","","28355","-33.1886229676981","146.18433969986","6327505.71094299","423965.919513069","12.0","193","51.14","5","110","Cations - Anions - Alkalinity - Carbon (1L)","","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''WaterSample/Photos/sjt_W_0008_31May2019_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''WaterSample/Photos/sjt_W_0008_31May2019_2.jpg''}}","","Still Bore (Bailed)","Poly pipe/plastic","Closed/covered","No pipes/clear","","90","No","","21.8","832","7.09","319","31-May-19 11:04:22 AEST","31-May-19 11:07:48 AEST","POINT(423965.919513 6327505.710943)"
"1000031559266314750","sjt-W-0009-31May2019","Steve Trigg","2019-05-31 01:32:06.182 GMT","Steve Trigg","2019-05-31 01:57:24 GMT","sjt","W","0009","","31May2019","31/05/2019","Steve Trigg","","Minex south cobar","MXSC","MXSCSJT0009","Sampling Location","","28355","","","","","","155","9.3","5","","Cations - Anions - Alkalinity - Carbon (1L)","","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''WaterSample/Photos/sjt_W_0009_31May2019_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''WaterSample/Photos/sjt_W_0009_31May2019_2.jpg''}}","","Still Bore (Bailed)","Poly pipe/plastic","Open/uncovered","Poly Pipes","Vertical","90","No","","19.32","3214","7.62","-175.9","31-May-19 11:48:17 AEST","31-May-19 11:55:57 AEST",""
"1000031559272492545","sjt-W-0010-31May2019","Steve Trigg","2019-05-31 03:15:50.322 GMT","Steve Trigg","2019-05-31 03:43:27 GMT","sjt","W","0010","","31May2019","31/05/2019","Steve Trigg","","Minex south cobar","MXSC","MXSCSJT0010","Sampling Location","","28355","-33.2698065416062","145.886555720666","6318248.8366559","396301.787569912","6.0","136","34.3","39.3","","Cations - Anions - Alkalinity - Carbon (1L)","sample turning orange","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''WaterSample/Photos/sjt_W_0010_31May2019_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''WaterSample/Photos/sjt_W_0010_31May2019_2.jpg''}, ''3'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''WaterSample/Photos/sjt_W_0010_31May2019_3.jpg''}}","","Still Bore (Bailed)","Metal","Open/uncovered","No pipes/clear","Vertical","90","No","","21.51","4018","6.59","-199.6","31-May-19 13:38:50 AEST","31-May-19 13:41:46 AEST","POINT(396301.78757 6318248.836656)"
