,Nathan Reid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WBS element:  R-13419-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Request No: ACU19100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date reported: 7/08/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,|----Ion Chromatography---|,,,,,,ICP Majors,,,,,,ICP Minors,,,,,,,,,,,,,,,,,,,ICP-MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,PO4-P,NPOC,TN,F-,Cl-,Br-,NO3-,SO4=,,Ca,K,Mg ,Na,S,,Al  ,As,B,Cd,Co,Cr,Cu,Fe,Mn,Mo,Ni,P,Pb,Sb,Se,Si,Sr,Zn,,Li,Sc,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Ag,Cd,In,Sn,Sb,Te,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Tl,Pb,Bi,Th,U
Lab. ID,Sample ID,,,mg/L,mg/L,mg/L,mg/l,mg/l,mg/l,mg/l,mg/l,,mg/L,mg/L,mg/L,mg/L,mg/L,,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MXSCSJT0001 AN,MXSCSJT0001 CAT,,0.028,3.7,2.5,1.7,968,4.2,4.7,240,,94,18,97,586,79,,<0.05,<0.05,0.43,<0.05,<0.05,<0.05,<0.05,<0.1,<0.05,<0.05,<0.05,<0.2,<0.05,<0.1,<0.05,19,1.3,<0.05,,8.5,2.20,1.92,0.8,1.4,9,0.20,6.6,<0.2,7.4,<0.1,0.3,2.2,8.2,27.8,,<0.05,<0.05,<0.1,3.4,<0.2,<0.1,<0.05,<0.2,<0.1,<0.4,0.32,37.7,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.1,<0.2,<0.1,<0.2,<0.1,<0.1,31.60
2,MXSCSJT0002 AN,MXSCSJT0002 CAT,,0.030,3.6,1.0,1.3,454,1.7,<0.05,73,,58,9.1,88,371,24,,<0.05,<0.05,0.29,<0.05,<0.05,<0.05,0.06,<0.1,<0.05,<0.05,<0.05,<0.2,<0.05,<0.1,<0.05,14,0.45,0.08,,24.3,1.85,0.28,<0.2,2.0,3,<0.05,2.9,60.5,95.2,<0.1,0.4,0.2,1.7,3.2,503,0.07,0.07,<0.1,0.9,<0.2,<0.1,<0.05,<0.2,<0.1,<0.4,0.31,8.5,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.1,<0.2,<0.1,1.0,<0.1,<0.1,13.00
3,MXSCSJT0003 AN,MXSCSJT0003 CAT,,0.025,1.5,1.8,0.54,188,0.83,4.6,33,,60,17,57,88,11,,<0.05,<0.05,0.12,<0.05,<0.05,<0.05,<0.05,<0.1,<0.05,<0.05,<0.05,<0.2,<0.05,<0.1,<0.05,9.0,0.92,<0.05,,1.6,1.23,0.59,0.6,0.2,3,0.11,5.5,4.6,11.3,<0.1,<0.2,0.5,2.4,11.8,975.8,<0.05,<0.05,<0.1,1.6,<0.2,<0.1,<0.05,0.3,0.1,<0.4,0.45,90.8,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.1,<0.2,<0.1,<0.2,<0.1,<0.1,4.44
4,MXSCSJT0004 AN,MXSCSJT0004 CAT,,0.030,3.9,1.5,0.6,526,1.8,2.3,94,,84,19,106,149,30,,<0.05,<0.05,0.13,<0.05,<0.05,<0.05,<0.05,<0.1,<0.05,<0.05,<0.05,<0.2,<0.05,<0.1,<0.05,20,1.5,<0.05,,6.3,2.43,1.05,1.0,0.5,1,<0.05,3.1,1.3,39.3,<0.1,<0.2,3.6,1.8,31.3,,<0.05,<0.05,<0.1,0.9,<0.2,0.2,<0.05,<0.2,<0.1,<0.4,3.88,62.8,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.1,<0.2,<0.1,0.2,<0.1,<0.1,7.66
5,MXSCSJT0005 AN,MXSCSJT0005 CAT,,0.020,3.0,0.3,0.26,103,0.4,<0.05,20,,32,2.3,24,63,7.0,,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.1,<0.05,<0.05,<0.05,<0.2,<0.05,<0.1,<0.05,16,0.27,<0.05,,<0.2,1.97,0.20,<0.2,18.6,36,<0.05,0.3,<0.2,4.2,<0.1,<0.2,<0.2,<0.2,0.9,286.6,<0.05,<0.05,<0.1,<0.2,<0.2,<0.1,<0.05,<0.2,<0.1,<0.4,0.17,26.0,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.1,<0.2,<0.1,<0.2,<0.1,<0.1,1.07
6,MXSCSJT0006 AN,MXSCSJT0006 CAT,,0.026,4.2,0.9,0.5,608,2.3,0.4,218,,50,12,69,358,72,,<0.05,<0.05,0.18,<0.05,<0.05,<0.05,<0.05,<0.1,<0.05,<0.05,<0.05,<0.2,<0.05,<0.1,<0.05,22,1.1,0.18,,0.2,2.58,10.69,1.8,0.7,7,0.06,6.1,18.6,200,<0.1,<0.2,0.8,2.2,6.4,,<0.05,<0.05,<0.1,1.5,<0.2,0.1,<0.05,<0.2,<0.1,<0.4,1.17,78.4,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.1,<0.2,<0.1,6.3,<0.1,<0.1,1.02
7,MXSCSJT0007 AN,MXSCSJT0007 CAT,,0.024,2.7,10,1.0,35,0.28,32,8.4,,28,8.2,27,57,3.0,,<0.05,<0.05,0.11,<0.05,<0.05,<0.05,<0.05,<0.1,<0.05,<0.05,<0.05,<0.2,<0.05,<0.1,<0.05,16,0.37,<0.05,,6.8,2.06,6.83,1.9,<0.1,<1,<0.05,0.2,10.4,10.2,<0.1,<0.2,1.1,0.8,4.9,443.2,<0.05,<0.05,<0.1,0.8,<0.2,<0.1,<0.05,<0.2,<0.1,<0.4,<0.05,21.3,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.1,0.3,<0.1,0.7,<0.1,<0.1,7.81
